Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
188,Rhode Island,A-10,,,12,20,72.6,76.3,-3.78,,3.07,,1.35,-3.41,-2.06,106.03,108.98,-2.95
189,California Baptist,WAC,,,16,17,67.3,66.6,0.76,,-2.31,,-6.39,4.02,-2.37,102.08,105.26,-3.18
190,Stony Brook,CAA,,,20,15,73.5,72.3,1.2,,-2.47,,0.31,-2.75,-2.44,104.06,107.16,-3.1
191,Fairfield,MAAC,,,22,12,75.8,70.6,5.15,,-6.62,,0.94,-3.68,-2.74,106.07,109.67,-3.6
192,Quinnipiac,MAAC,,,24,9,77.8,71.5,6.33,,-7.15,,2.12,-4.87,-2.75,103.46,107.08,-3.62
193,UC Santa Barbara,Big West,,,16,15,75.4,73.5,1.84,,-2.63,,-0.25,-2.55,-2.8,104.91,109,-4.08
194,Fresno State,MWC,,,12,21,67.7,73.9,-6.24,,3.96,,-3.18,0.36,-2.82,103.28,107.73,-4.45
195,Bryant,AEC,,,20,13,78.7,75.4,3.33,,-3.35,,1.91,-4.77,-2.86,97.94,101.88,-3.94
196,Cleveland State,Horizon,,,20,14,76.2,72.9,3.29,,-4.46,,0.1,-3.01,-2.91,105.28,109.42,-4.14
197,Rice,AAC,,,11,21,72,75.7,-3.66,,2.28,,-1.3,-1.62,-2.92,105.14,109.24,-4.1
198,East Tennessee State,Southern,,,19,16,71.5,69.6,1.91,,-2.57,,-4.11,1.17,-2.93,100.82,104.87,-4.05
199,Little Rock,OVC,,,21,12,77.4,72.2,5.18,,-8.14,,1.4,-4.35,-2.95,105.17,108.81,-3.64
200,Monmouth,CAA,,,18,15,72.4,72.6,-0.18,,-2.81,,-1.35,-1.64,-3,103.81,108.27,-4.47
201,Pennsylvania,Ivy,,,11,18,74.4,74.4,0.07,,0.53,,-0.08,-2.99,-3.07,106.63,111.18,-4.56
202,Jacksonville State,CUSA,,,14,18,70,66.4,3.56,,-2.88,,-7.03,3.73,-3.3,100.18,104.52,-4.34
203,San Jose State,MWC,,,9,23,69.6,75.1,-5.47,,3.74,,-2.4,-0.95,-3.35,104.41,109.69,-5.27
204,Evansville,MVC,,,16,17,71.5,73.6,-2.06,,0.93,,-1.61,-1.78,-3.39,101.39,106.14,-4.75
205,Northern Kentucky,Horizon,,,18,15,74.8,73.2,1.64,,-3.46,,-1.69,-1.71,-3.39,101.04,106.04,-5
206,Texas State,Sun Belt,,,17,18,69.9,70.1,-0.2,,-0.42,,-6.2,2.81,-3.39,97.91,102.51,-4.6
207,Brown,Ivy,,,13,17,71.7,72.2,-0.47,,-1.71,,-1.8,-1.81,-3.61,102.15,107.48,-5.34
208,Texas A&M-Corpus Christi,Southland,,,21,11,75.5,66.5,9.06,,-6.91,,-4.34,0.68,-3.66,98.34,102.36,-4.02
209,Wofford,Southern,,,17,15,74.5,73.8,0.69,,-1.43,,-1.14,-2.57,-3.71,106.21,111.6,-5.39
210,Abilene Christian,WAC,,,15,17,72.5,73.5,-0.97,,-1.17,,-2.35,-1.47,-3.81,100.29,105.34,-5.05
211,UC Riverside,Big West,,,16,18,70.7,72,-1.29,,-0.9,,-2.8,-1.13,-3.93,101.99,107.63,-5.65
212,Northern Colorado,Big Sky,,,19,13,80.3,77.8,2.41,,-4.89,,5.4,-9.39,-3.99,107.05,112.4,-5.35
213,Saint Peter's,MAAC,,,19,13,65.3,63.4,1.91,,-6,,-10.11,5.99,-4.12,96.13,101.73,-5.6
214,Georgia State,Sun Belt,,,14,17,76.5,74.8,1.65,,-2.26,,-0.55,-3.71,-4.26,103.34,109.34,-6
215,Air Force,MWC,,,9,22,66.2,72.4,-6.19,,1.87,,-6.47,2.15,-4.33,104.95,112.75,-7.81
216,Harvard,Ivy,,,14,13,70.4,71.7,-1.37,,-1.85,,-3.2,-1.15,-4.35,99.99,106.08,-6.09
217,Gardner-Webb,Big South,,,17,16,73.5,73.2,0.36,,-1.47,,-1.62,-2.78,-4.4,99.9,105.62,-5.72
218,Cal State Northridge,Big West,,,19,15,75,73.6,1.41,,-3.79,,0.27,-4.71,-4.44,97.84,104.21,-6.38
219,Mercer,Southern,,,16,17,71.2,71.8,-0.7,,-2.4,,-4.49,-0.01,-4.5,101.12,107.74,-6.62
220,Stetson,A-Sun,,,22,12,77.5,72.8,4.71,,-3.86,,-0.32,-4.19,-4.51,108.14,114.69,-6.55
221,Montana State,Big Sky,,,17,17,75.1,74.1,1.06,,-3.89,,-1.33,-3.24,-4.57,101.71,107.98,-6.27
222,Cal State Fullerton,Big West,,,14,18,67.9,69.1,-1.25,,-0.74,,-6.15,1.4,-4.74,98.9,105.31,-6.41
223,Milwaukee,Horizon,,,20,15,79.5,78.7,0.83,,-4.23,,4.04,-8.82,-4.77,105.37,112.38,-7.01
224,Bowling Green State,MAC,,,20,13,73.5,70.8,2.73,,-5.47,,-2.52,-2.28,-4.8,99.92,107.03,-7.11
225,Iona,MAAC,,,16,17,71.3,70.6,0.76,,-5.69,,-3.62,-1.31,-4.93,101.74,108.46,-6.72
226,UTSA,AAC,,,11,21,77.6,81,-3.38,,-0.39,,4.78,-9.72,-4.94,105.51,112.24,-6.73
227,Kansas City,Summit,,,16,16,71.9,69.3,2.59,,-4.16,,-4.65,-0.34,-4.98,98.77,105.83,-7.05
228,Lamar,Southland,,,19,14,77.8,72.9,4.91,,-7.84,,-0.72,-4.31,-5.03,102.82,109.23,-6.41
229,Cal State Bakersfield,Big West,,,13,19,68.7,69.2,-0.47,,-1.86,,-6.43,1.37,-5.06,99.42,107.17,-7.75
230,San Diego,WCC,,,18,15,72.5,77.3,-4.79,,0.57,,-0.39,-4.69,-5.08,100.09,106.3,-6.21
231,Eastern Kentucky,A-Sun,,,17,14,80.8,76.5,4.29,,-4.18,,-0.06,-5.05,-5.11,103.82,110.45,-6.63
232,Merrimack,NEC,,,21,12,69.2,65.4,3.76,,-8.31,,-7.84,2.73,-5.11,94.51,101.72,-7.21
233,Marshall,Sun Belt,,,13,20,73.8,76.7,-2.91,,-1.09,,-1.65,-3.47,-5.12,99,105.7,-6.69
234,Columbia,Ivy,,,13,14,77,72.4,4.52,,-3.51,,-0.31,-4.91,-5.22,104.07,110.94,-6.87
235,Austin Peay,A-Sun,,,19,15,74.9,72.9,2,,-4.24,,-2.02,-3.23,-5.24,105.31,113.01,-7.7
236,Tennessee-Martin,OVC,,,21,11,81.5,76.7,4.81,,-7.02,,4.97,-10.31,-5.34,103.22,111.02,-7.8
237,Green Bay,Horizon,,,18,14,69,69,0.06,,-3.79,,-7.02,1.66,-5.36,101.38,109.14,-7.77
238,Marist,MAAC,,,18,13,64.6,62.2,2.45,,-7.83,,-10.92,5.54,-5.38,95.15,102.2,-7.05
239,Rider,MAAC,,,15,17,72.2,72.1,0.03,,-4,,-2.34,-3.11,-5.45,100.86,108.36,-7.5
240,Radford,Big South,,,16,17,72,71.5,0.48,,-3.28,,-4.55,-0.92,-5.47,104.16,111.95,-7.79
241,South Alabama,Sun Belt,,,16,16,74,75.7,-1.69,,-3.09,,-1.43,-4.21,-5.64,102.17,109.91,-7.75
242,Southern Mississippi,Sun Belt,,,16,16,69.9,71,-1.16,,-2.64,,-4.47,-1.17,-5.64,99.05,106.89,-7.84
243,Southern Utah,WAC,,,10,21,75,77.6,-2.58,,-1.16,,0.8,-6.51,-5.71,103.43,110.96,-7.52
244,North Dakota,Summit,,,18,14,75.3,71.9,3.38,,-5.77,,-2.99,-2.92,-5.91,101.73,110.28,-8.55
245,Northeastern,CAA,,,12,20,69.4,72.3,-2.94,,-2.98,,-3.94,-1.99,-5.92,103.01,111.59,-8.59
246,Florida Gulf Coast,A-Sun,,,14,18,70.4,71.1,-0.72,,-3.63,,-7.14,1.17,-5.97,101.35,109.74,-8.39
247,New Hampshire,AEC,,,16,15,74.1,74.1,0.03,,-3.51,,-1.64,-4.4,-6.04,97.93,105.87,-7.94
248,Maine,AEC,,,15,17,67.6,67.5,0.16,,-4.67,,-9.32,3.13,-6.18,95.05,103.72,-8.67
249,Miami (OH),MAC,,,15,17,70.6,70,0.56,,-3.84,,-5.35,-0.85,-6.2,98.6,107.03,-8.43
250,Norfolk State,MEAC,,,22,11,74.3,67.6,6.7,,-7.6,,-5.04,-1.22,-6.25,100.61,109.26,-8.65
251,Mount St. Mary's,MAAC,,,13,19,72.7,71.8,0.91,,-7.21,,-1.85,-4.45,-6.3,99.79,108.9,-9.11
252,DePaul,Big East,,,3,29,64.7,81.8,-17.03,,10.7,,-2.67,-3.66,-6.34,101.95,110.84,-8.89
253,The Citadel,Southern,,,11,21,70.6,71.5,-0.91,,-2.81,,-5.87,-0.56,-6.43,100.58,109.97,-9.38
254,Albany (NY),AEC,,,13,19,78.7,78.8,-0.13,,-5.08,,3.78,-10.24,-6.46,102.5,111.32,-8.82
255,Ball State,MAC,,,15,16,73.5,71,2.58,,-5.71,,-3.44,-3.03,-6.47,101.27,110.54,-9.27
256,North Florida,A-Sun,,,16,16,78,75.8,2.16,,-4.53,,-0.88,-5.75,-6.63,105.25,113.74,-8.49
257,Nicholls State,Southland,,,20,14,73.9,73.9,-0.06,,-4.88,,-1.89,-4.76,-6.65,101.18,109.98,-8.81
258,Portland State,Big Sky,,,17,15,71.9,71.8,0.09,,-4.48,,-3.94,-2.75,-6.69,96.37,105.14,-8.76
259,North Alabama,A-Sun,,,15,17,76.5,76.1,0.38,,-4.61,,-0.67,-6.11,-6.77,102.9,112.31,-9.41
260,Omaha,Summit,,,15,18,74,72.8,1.12,,-4.67,,-2.84,-4.13,-6.98,101.99,111.51,-9.52
261,Denver,Summit,,,17,17,81,80.5,0.53,,-4.45,,4.61,-11.63,-7.02,105.18,115.1,-9.92
262,Idaho State,Big Sky,,,14,20,70.5,70.1,0.41,,-4.65,,-6.02,-1.01,-7.03,101.14,110.89,-9.75
263,Oral Roberts,Summit,,,12,19,73.4,75.3,-1.9,,-2.26,,-2.37,-4.71,-7.09,102.07,112.19,-10.12
264,Middle Tennessee,CUSA,,,14,19,65.7,70.3,-4.61,,-0.3,,-7.9,0.66,-7.24,95.53,105.95,-10.42
265,North Dakota State,Summit,,,15,17,74.6,73.9,0.69,,-2.83,,-2.57,-4.67,-7.24,102.46,113.12,-10.66
266,Lehigh,Patriot,,,14,18,72.7,71,1.69,,-6.4,,-1.61,-5.65,-7.27,97.88,108.28,-10.4
267,Canisius,MAAC,,,14,18,70.4,72.1,-1.72,,-4.63,,-5.54,-2.16,-7.7,98.41,109.68,-11.28
268,Kennesaw State,A-Sun,,,15,16,82.8,80.8,2.06,,-5.52,,5.29,-13,-7.7,101.92,112.34,-10.42
269,North Carolina Central,MEAC,,,18,13,76.6,69,7.61,,-8.66,,-3.47,-4.23,-7.7,101.82,112.6,-10.78
270,Florida International,CUSA,,,11,22,73.6,76.5,-2.91,,-1.92,,-1.25,-6.51,-7.76,99.3,109.89,-10.58
271,Central Michigan,MAC,,,18,14,66.5,70.1,-3.59,,-3.35,,-8.37,0.54,-7.83,95.05,106.16,-11.11
272,Portland,WCC,,,12,21,71.5,79.5,-7.94,,1.75,,-1.77,-6.22,-8,102.32,113.68,-11.36
273,Old Dominion,Sun Belt,,,7,25,70.9,77,-6.13,,-1.25,,-2.99,-5.03,-8.02,97.89,108.83,-10.94
274,Presbyterian,Big South,,,14,18,74.7,72.8,1.84,,-5.47,,-3.95,-4.07,-8.02,100.35,111.64,-11.28
275,Central Connecticut State,NEC,,,20,11,72.2,66.5,5.68,,-10.04,,-5.78,-2.26,-8.04,98.69,109.82,-11.13
276,Utah Tech,WAC,,,11,20,70.8,77.1,-6.29,,-1.18,,-2.41,-5.67,-8.08,97.64,108.48,-10.85
277,Bucknell,Patriot,,,14,19,65.2,67.2,-1.94,,-6.16,,-7.85,-0.25,-8.1,97.5,109.19,-11.69
278,Niagara,MAAC,,,16,16,72.5,72.1,0.38,,-6.95,,-2.89,-5.26,-8.14,101.92,113.39,-11.47
279,Georgia Southern,Sun Belt,,,9,24,73.3,79.2,-5.91,,-2.24,,-0.63,-7.52,-8.15,101.4,112.84,-11.44
280,Valparaiso,MVC,,,7,25,67.6,75.5,-7.91,,1.26,,-5.24,-2.92,-8.16,97.96,109.21,-11.25
281,New Mexico State,CUSA,,,13,19,67.7,72.4,-4.75,,1.04,,-6.49,-1.83,-8.32,98.48,110.81,-12.33
282,Howard,MEAC,,,18,16,75.1,74.4,0.76,,-7.82,,-1.07,-7.34,-8.41,102.9,114.68,-11.77
283,Western Illinois,OVC,,,21,12,68.8,65.7,3.18,,-7.08,,-10.15,1.68,-8.46,94.66,106.35,-11.69
284,Queens (NC),A-Sun,,,14,19,80.1,81.6,-1.52,,-3.22,,2.25,-10.73,-8.48,100.82,112.27,-11.45
285,Maryland-Baltimore County,AEC,,,11,21,78.7,80.7,-2.06,,-5.75,,3.79,-12.28,-8.49,101.42,113.06,-11.64
286,Southern,SWAC,,,18,14,71.1,68.7,2.41,,-6.01,,-7.46,-1.2,-8.66,95.54,106.82,-11.28
287,American,Patriot,,,16,16,68.8,68,0.75,,-8.59,,-7.19,-1.56,-8.75,102.27,115.26,-13
288,SIU Edwardsville,OVC,,,17,16,71.5,70.1,1.39,,-7.27,,-5.75,-3.06,-8.81,98.07,110.58,-12.51
289,Northern Illinois,MAC,,,11,20,73.2,77.4,-4.19,,-1.17,,-2.21,-6.75,-8.96,99.73,112.64,-12.91
290,Western Michigan,MAC,,,12,20,71.3,74.9,-3.59,,-3.54,,-3.81,-5.25,-9.06,97.93,111.03,-13.1
291,Texas Southern,SWAC,,,16,16,70.2,70.8,-0.59,,-7.3,,-7.17,-1.9,-9.07,94.63,107.13,-12.5
292,South Carolina Upstate,Big South,,,10,20,71,72.9,-1.93,,-2.77,,-5.6,-3.51,-9.11,97.37,110.36,-13
293,Binghamton,AEC,,,15,15,72.1,72.2,-0.13,,-5.05,,-5.08,-4.04,-9.12,98.49,111.17,-12.68
294,Robert Morris,Horizon,,,10,22,72.7,75.8,-3.09,,-4.06,,-3.6,-5.72,-9.32,100,113.22,-13.22
295,Tennessee State,OVC,,,18,15,72.7,71,1.73,,-7.41,,-5.29,-4.11,-9.41,96.5,109.65,-13.16
296,Jacksonville,A-Sun,,,16,17,71.8,72.4,-0.55,,-4.55,,-7.53,-1.99,-9.52,97.9,110.51,-12.61
297,Boston University,Patriot,,,16,17,66.5,66.6,-0.15,,-8.29,,-8.48,-1.25,-9.72,94.91,108.91,-14
298,Chicago State,Ind,,,12,18,69.1,70.2,-1.1,,-2.98,,-9.76,0.04,-9.72,94.8,109.11,-14.31
299,Louisiana-Monroe,Sun Belt,,,11,19,69.9,74.4,-4.57,,-2.12,,-6.18,-3.55,-9.73,97.57,111.64,-14.08
300,Sacred Heart,NEC,,,16,16,74.1,72.3,1.84,,-9.34,,-3.21,-6.6,-9.8,98.14,111.61,-13.48
301,Grambling,SWAC,,,20,14,67.6,69,-1.44,,-6.41,,-9.97,-0.18,-10.15,95.57,109.66,-14.09
302,Coastal Carolina,Sun Belt,,,9,22,73.5,78.5,-4.97,,-2.6,,-3.12,-7.07,-10.19,97.59,111.79,-14.2
303,Sacramento State,Big Sky,,,10,24,67.1,70.4,-3.29,,-3.21,,-10.63,0.26,-10.37,95.67,111.34,-15.68
304,Campbell,CAA,,,14,18,71,72.1,-1.09,,-5.47,,-5.88,-4.56,-10.44,97.57,112.62,-15.05
305,Delaware State,MEAC,,,15,18,70.8,70.8,-0.03,,-7.83,,-7.29,-3.16,-10.45,92.99,107.58,-14.59
306,Idaho,Big Sky,,,11,21,67.8,71.2,-3.38,,-4.26,,-8.82,-2.04,-10.86,96.69,112.66,-15.98
307,Wagner,NEC,,,16,15,63.5,62.1,1.45,,-9.51,,-14.7,3.84,-10.86,93.04,108.37,-15.33
308,Southeastern Louisiana,Southland,,,15,17,69,71,-1.94,,-5.7,,-9.33,-1.54,-10.87,96.26,110.91,-14.65
309,Lafayette,Patriot,,,11,21,62.8,67.3,-4.5,,-5.77,,-11.38,0.45,-10.93,90.69,106.37,-15.68
310,Le Moyne,NEC,,,15,17,72.4,70.2,2.28,,-9.41,,-6.08,-4.85,-10.93,97.62,112.94,-15.31
311,William & Mary,CAA,,,10,23,69.8,72.1,-2.27,,-5.35,,-6.55,-4.57,-11.13,98.89,115.21,-16.32
312,Elon,CAA,,,13,19,73.1,75.4,-2.31,,-5.26,,-4.41,-6.82,-11.23,99.57,115.66,-16.09
313,Eastern Illinois,OVC,,,14,18,68.9,67.9,1,,-6.18,,-9.23,-2.06,-11.28,93.35,109.76,-16.41
314,Bellarmine,A-Sun,,,8,23,69.5,74.8,-5.39,,-2.1,,-8.23,-3.19,-11.42,97.05,113.51,-16.46
315,Navy,Patriot,,,13,18,66.5,66.7,-0.23,,-9.28,,-9.64,-1.81,-11.44,93.69,110.71,-17.02
316,Jackson State,SWAC,,,15,17,71.2,75.6,-4.34,,-7.14,,-4.77,-6.71,-11.48,97.07,112.76,-15.69
317,Alcorn State,SWAC,,,14,18,71.9,77.4,-5.53,,-5.62,,-3.49,-8.1,-11.59,102.5,118.16,-15.66
318,Alabama State,SWAC,,,13,19,68.6,69.4,-0.81,,-6.87,,-10.03,-1.71,-11.74,89.17,105.29,-16.12
319,South Carolina State,MEAC,,,14,18,70.2,74.7,-4.53,,-6.07,,-5.84,-5.89,-11.74,95.48,110.93,-15.45
320,Northern Arizona,Big Sky,,,14,19,68.6,76.6,-8,,-3.85,,-6.25,-5.6,-11.85,94.74,111.7,-16.97
321,Charleston Southern,Big South,,,10,20,67.6,73.7,-6.07,,-1.42,,-9.92,-1.95,-11.87,92.98,109.92,-16.94
322,Bethune-Cookman,SWAC,,,17,16,72.5,72.2,0.39,,-9.1,,-5.62,-6.54,-12.16,93.8,110.71,-16.91
323,South Dakota,Summit,,,12,20,76.1,79.2,-3.16,,-5.08,,-1.18,-11.04,-12.22,100.05,117.12,-17.08
324,Eastern Michigan,MAC,,,13,18,66,72.6,-6.61,,-4.84,,-9.29,-3.24,-12.53,94.59,112.55,-17.96
325,Cal Poly,Big West,,,4,28,63.7,74.1,-10.44,,-1.9,,-10.05,-3.21,-13.26,92.18,111.69,-19.51
326,Texas-Rio Grande Valley,WAC,,,6,25,70.4,79.8,-9.42,,-0.86,,-4.6,-8.74,-13.34,92.94,111.05,-18.11
327,Southern Indiana,OVC,,,8,24,68.6,73,-4.38,,-5.4,,-7.36,-6.08,-13.44,93.04,111.91,-18.87
328,Dartmouth,Ivy,,,6,21,61.9,71.9,-10,,-1.14,,-13.05,-0.77,-13.82,90.5,110.92,-20.43
329,Northwestern State,Southland,,,9,23,70.5,75.9,-5.38,,-5.87,,-7.33,-6.64,-13.97,94.64,114.05,-19.41
330,Texas A&M-Commerce,Southland,,,13,20,71.5,74.6,-3.06,,-4.68,,-9,-5.02,-14.02,91.7,111.73,-20.03
331,FDU,NEC,,,15,17,75.9,77.6,-1.63,,-9.18,,-2.52,-11.8,-14.32,94.44,114.01,-19.57
332,Army,Patriot,,,10,22,60.3,64.3,-4.03,,-8.71,,-15.56,1.11,-14.44,88.83,110.62,-21.79
333,NJIT,AEC,,,7,21,67.9,75,-7.11,,-4.3,,-9.16,-5.33,-14.49,94.42,115.04,-20.61
334,Alabama A&M,SWAC,,,11,22,68.7,75.8,-7.09,,-7.58,,-7.65,-7.02,-14.67,90.63,110.5,-19.87
335,Tennessee Tech,OVC,,,10,21,67.4,73.8,-6.45,,-6.04,,-10.53,-4.25,-14.79,92.62,113.86,-21.24
336,Buffalo,MAC,,,4,27,68,79.7,-11.71,,-2.58,,-7.07,-7.81,-14.88,93.6,114.33,-20.73
337,Manhattan,MAAC,,,7,23,66.2,75.8,-9.67,,-4.65,,-7.96,-7.1,-15.06,92.55,113.58,-21.03
338,Central Arkansas,A-Sun,,,9,23,72.2,78.2,-6.03,,-5.26,,-5.81,-9.52,-15.33,94.36,115.64,-21.28
339,Prairie View,SWAC,,,10,21,70.2,76.4,-6.19,,-6.91,,-7.21,-8.18,-15.39,91.7,112.64,-20.94
340,Arkansas-Pine Bluff,SWAC,,,13,18,80.1,81.8,-1.71,,-7.66,,0.1,-15.72,-15.62,98.89,119.82,-20.94
341,Hampton,CAA,,,9,24,71.8,76.4,-4.58,,-5.1,,-7.09,-8.54,-15.63,92.07,114.03,-21.95
342,Florida A&M,SWAC,,,6,23,67.2,77.2,-10.03,,-4.12,,-9.32,-6.43,-15.75,90.95,113.07,-22.13
343,Morgan State,MEAC,,,11,20,72.7,77.5,-4.81,,-5.7,,-4.81,-11.07,-15.88,93.03,115.44,-22.41
344,Loyola (MD),Patriot,,,7,25,64,71.9,-7.88,,-6.71,,-11.26,-4.67,-15.94,90.69,113.95,-23.26
345,Incarnate Word,Southland,,,8,23,72.3,78.6,-6.32,,-7.53,,-5.89,-10.11,-16.01,94.21,115.85,-21.65
346,North Carolina A&T,CAA,,,7,25,65.6,77.9,-12.38,,-3.78,,-8.04,-8.11,-16.15,93.34,116.28,-22.94
347,New Orleans,Southland,,,10,23,73.5,79.5,-5.91,,-5.44,,-4.32,-12.02,-16.33,94.49,116.66,-22.17
348,Detroit Mercy,Horizon,,,1,31,66,80.3,-14.28,,-2.42,,-9.13,-7.57,-16.7,93.65,117.66,-24.01
349,Holy Cross,Patriot,,,10,23,66.5,74.6,-8.12,,-7.66,,-8.1,-8.82,-16.91,96.44,121.07,-24.63
350,Pacific,WCC,,,6,26,64.7,79.8,-15.06,,0.08,,-8.17,-9.03,-17.19,92.54,117.6,-25.07
351,Maryland-Eastern Shore,MEAC,,,9,20,65.2,70.6,-5.38,,-6.23,,-12.61,-4.62,-17.23,87.06,111.92,-24.86
352,Long Island University,NEC,,,7,22,66.5,76.8,-10.28,,-7.43,,-8.46,-9.25,-17.7,89.3,113.7,-24.4
353,Southeast Missouri State,OVC,,,9,22,67,73.5,-6.45,,-6.3,,-10.61,-7.39,-18,89.08,114.35,-25.27
354,Lindenwood,OVC,,,9,22,65.1,73.1,-7.97,,-6.92,,-11.81,-6.61,-18.42,89.31,115.38,-26.07
355,Saint Francis (PA),NEC,,,8,22,65.2,72.7,-7.53,,-8.01,,-12.3,-6.17,-18.47,90.72,117.58,-26.86
356,Houston Christian,Southland,,,6,23,71.5,83.4,-11.93,,-3.4,,-5.42,-13.46,-18.88,92.34,117.13,-24.79
357,Siena,MAAC,,,4,28,60.4,74.4,-14,,-4.93,,-14.42,-4.51,-18.93,86.77,114.15,-27.39
358,Stonehill,NEC,,,4,27,63.5,76.1,-12.68,,-6.01,,-11.87,-8.14,-20.01,88.68,116.31,-27.63
359,VMI,Southern,,,4,28,68.9,82.6,-13.75,,-2.23,,-6.59,-13.84,-20.43,86.81,113.74,-26.93
360,IUPUI,Horizon,,,6,26,65.9,79.8,-13.94,,-4.4,,-11.8,-9.29,-21.09,89.69,120.26,-30.57
361,Coppin State,MEAC,,,2,27,57.9,72.8,-14.97,,-6.4,,-17.56,-3.8,-21.37,81.76,112.43,-30.67
362,Mississippi Valley State,SWAC,,,1,30,55.5,77.7,-22.26,,-3.9,,-19.34,-6.81,-26.15,81.87,120.66,-38.8
},,,,,,,,,,,,,,,,,,